,sepal_length,sepal_width,petal_length,petal_width
0,7.847109319035025,3.8782803984825667,6.155019091945386,2.7261628177978867
1,6.3014398640631315,3.1686388275101964,5.1499846248471775,1.9388495554172174
2,7.805121903176936,3.4645060975096564,6.339346820864305,1.9545183559871921
3,5.26865915078746,3.6081355596497415,1.6126282755710875,0.2138141308440528
4,6.619007014844574,3.0463071962525996,5.137652161426546,1.8925162986436788
5,6.0544471179339565,3.862988507616646,1.7250869256441066,0.30224417749475024
6,5.8459978061460545,4.389503824170655,1.3054424961126105,0.2004545266596101
7,5.650371283891239,3.1841374524568007,4.4179462170508925,1.3326953828339214
8,6.563983529018498,2.7253364944201195,5.453103464319602,1.7135770427941637
9,4.8613429564856085,3.466539262399761,1.630599227335919,0.21767612165737504
10,6.546671203135557,2.8366885788949423,5.888442710516594,1.4738376199349346
11,6.834252944104908,3.0022395234106325,5.816085496349063,1.947562572222407
12,6.860436548911447,3.4942801355766258,5.649978638157138,2.5509583294279246
13,6.626668387745657,3.1344120814745633,4.994473394184189,1.4785450855735203
14,6.913725329740864,3.0031637333789067,5.059481904753055,1.8690334591036035
15,6.001648379328885,3.505317313475296,1.4213486202134777,0.20609851889230227
16,5.856007955565623,3.980316579570358,1.3090260983868756,0.4212003524987643
17,6.044990126599088,2.7076504210699563,3.7590635898331675,1.0770753694717827
18,5.291080157531616,3.832510000675757,1.4605854757309265,0.3190302690725887
19,7.520700996710815,3.3154120289641167,5.911070900268635,2.2618320984162654
20,6.728301967776014,2.939852225945318,4.893886966852983,1.8813176277830672
21,6.634085462638983,3.0212921386822225,4.881465893147279,1.2569316589472768
22,7.711327192896065,3.829484781360851,6.446476118172093,2.5218299324932927
23,4.926082433732553,3.4732096122188207,1.9744657467549025,0.20451006486406864
24,6.571146277243509,3.3856223992262118,6.537702056713898,2.6656916006677642
25,6.020382352961596,2.784463994138731,4.632747423573552,1.2215587768494842
26,7.297704013689654,3.3428607216216464,6.0777892755660385,2.1503311408246195
27,6.738518651799722,3.463701892521831,5.6031059876644225,2.4124337220232803
28,5.153982720564491,3.5393933519127745,2.088217672223355,0.20288267893590473
29,4.453719809869056,3.4017993941728104,1.4002400943125852,0.21396729936349665
30,7.7747029712268,3.077442686192453,6.147655361034034,1.9124464503038632
31,6.155595011892185,4.751450634077424,1.515535625909995,0.43039229372044024
32,6.307781702465854,3.5601688366369397,6.108418202871008,2.500249128643832
33,5.874571662466976,2.580363705199039,4.231375918828329,1.1619553473569193
34,7.287224752670032,3.29465078037794,6.321429041389277,2.254026993509615
35,5.9406719668160095,2.525548580028724,4.3861533558040415,1.4228114775156095
36,6.488513893908504,3.005416734421862,4.992692901462109,1.2536629552188545
37,5.216207126778007,3.9794918993315984,1.6298643531194197,0.40744002177358213
38,5.813091562425657,2.973941270068299,5.269845949057744,2.435366449093542
39,5.907927858604474,3.035328893073748,4.407268116593455,1.5846257536363069
40,6.588536703112203,3.5286108646602874,4.949728035671459,1.677415496100883
41,6.206827596606225,3.373731863409379,4.838302247379244,1.8140098767855888
